team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
540,11,1,2,2,0,1,1,0,3,2,0,0,0,3,0,0,0,0,2,1,1,0,0,0
3748,11,0,2,1,0,1,0,0,4,0,0,0,1,0,0,0,1,1,2,2,2,13,0,0
4505,11,1,1,1,0,1,0,0,3,2,0,0,0,0,0,0,2,1,1,2,1,0,0,0
5954,11,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
5804,11,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,3,0,1,2,1,0,0,0
1413,11,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2,2,2,10,2,0
6802,12,0,1,1,0,1,1,0,2,0,0,0,1,2,0,0,0,0,3,2,3,8,0,0
4466,12,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
5279,12,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
3072,12,1,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0
1262,12,1,1,1,0,1,1,0,4,0,0,0,2,0,0,0,0,0,2,2,2,7,0,0
3136,12,0,2,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0
346,13,0,2,1,0,1,1,0,2,1,0,0,4,2,0,0,0,1,3,2,3,2,0,0
3939,13,1,1,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,2,2,2,8,0,0
3455,13,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
6312,13,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3258,13,1,2,2,0,1,1,0,1,0,2,0,0,1,1,0,0,0,2,1,1,0,0,0
449,13,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,2,7,0,0
3748,14,1,1,1,0,1,0,0,4,0,0,0,0,0,0,0,1,2,2,2,2,10,0,0
2890,14,0,2,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0
384,14,1,2,2,0,1,1,0,4,0,0,0,1,0,0,0,0,2,3,2,3,6,0,0
1413,14,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,2,1,1,0,0,0
6194,14,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,2,1,1,0,0,0
539,14,0,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,1,2,1,0,0,0
5954,15,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0
5724,15,0,1,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,2,2,2,8,0,0
2068,15,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
401,15,1,1,1,0,1,1,0,5,0,1,0,0,0,0,0,0,1,3,2,3,25,0,0
401,15,1,1,1,0,1,1,0,5,0,1,0,0,0,0,0,0,1,3,2,3,25,0,0
1262,15,1,1,1,0,1,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
1915,15,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
6802,16,0,1,1,0,1,1,0,1,1,0,0,0,2,0,0,0,2,3,1,0,0,0,0
1598,16,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4505,16,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
977,16,1,2,1,0,1,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,0,0,0
3274,16,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
619,16,1,2,1,0,1,0,0,2,0,2,0,0,0,0,0,0,5,1,2,1,0,0,0
7886,17,0,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
5804,17,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1086,17,1,2,2,0,1,0,0,3,0,0,0,0,1,0,0,0,2,2,2,2,2,0,0
1522,17,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,2,12,0,0
540,17,1,2,2,0,1,1,0,3,0,0,0,1,2,0,0,0,1,2,2,2,1,0,0
3258,18,0,2,2,0,1,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,8,0,0
2068,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,18,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,2,0
3939,18,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,4,2,1,1,0,0,0
4505,18,1,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
5279,18,0,1,2,0,1,1,0,1,0,0,0,0,1,2,0,1,0,1,2,1,0,0,0
539,19,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0
401,19,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,3,1,0,0,1,0
3748,19,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0,3,0,2,2,2,11,0,0
5724,19,0,2,2,0,1,1,0,0,1,1,0,0,1,0,0,2,1,1,1,0,0,0,0
3072,19,1,2,2,0,1,1,0,4,0,1,0,0,0,0,0,0,0,3,2,3,11,0,0
540,19,0,2,2,0,1,0,0,1,0,2,0,0,1,1,0,0,2,1,1,0,0,0,0
