team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense,defended
1676,10,1,2,1,0,1,1,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,0,0,0
1024,11,0,2,1,0,1,1,0,0,0,0,0,2,2,0,1,1,3,1,2,1,0,0,0,0
353,11,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0
772,11,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,1,1,3,2,3,10,0,0,0
7673,11,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,0,1,1
2265,11,1,2,1,0,1,0,0,3,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0
4143,11,1,1,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,3,2,3,9,0,0,2
1781,12,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,25,0,1,0
2771,12,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,3,2,3,9,0,0,1
250,12,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,1
6401,12,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0
16,12,1,1,1,0,1,1,0,1,2,2,2,0,2,2,2,0,0,1,1,0,0,0,0,1
868,12,1,2,1,0,1,0,0,2,1,0,0,0,2,0,0,1,0,3,1,1,0,0,0,2
2830,13,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,2,2,2,20,0,0,0
836,13,0,1,1,0,1,1,1,0,2,0,0,2,4,0,0,0,1,3,2,3,9,0,0,2
1317,13,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,0,0,0
5348,13,1,2,2,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0
7651,13,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,2
5501,13,1,1,1,0,1,1,0,0,0,0,0,2,3,0,0,0,0,3,1,2,4,0,0,0
4253,14,0,1,1,0,1,1,0,3,0,0,2,1,1,1,0,1,1,1,2,1,0,0,0,1
225,14,0,2,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,1,2,1,0,0,0,2
51,14,0,2,1,0,1,1,0,4,0,0,0,3,1,0,0,0,0,3,2,3,7,0,0,0
6806,14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,2,0
449,14,1,1,1,0,1,1,1,2,1,0,0,1,1,0,0,0,1,1,2,1,0,0,0,0
503,14,1,1,1,0,1,1,0,0,2,2,0,0,2,2,0,1,0,3,2,3,9,0,0,0
7462,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,1,0
