team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
4541,11,1,1,1,0,1,1,0,0,0,0,0,2,1,2,1,0,0,1,2,1,0,0,0
4456,11,1,1,2,0,1,1,0,6,0,0,0,0,0,0,0,0,2,3,2,3,12,0,0
5338,11,1,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,2,2,6,0,0
1599,11,0,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,2,3,2,3,17,0,0
4638,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2
539,11,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,1
977,12,1,1,1,0,1,1,0,0,0,0,1,0,2,2,2,0,1,2,1,1,0,0,0
619,12,1,2,1,0,1,0,0,2,2,2,1,0,1,0,0,0,4,2,2,2,6,0,0
836,12,1,2,1,0,1,0,1,0,2,0,0,1,1,0,0,1,0,3,2,3,10,0,0
540,12,0,2,1,0,1,1,0,0,2,2,2,0,1,0,0,0,1,1,1,0,0,0,0
3793,12,0,2,1,0,1,0,0,5,0,0,0,1,0,0,0,1,1,2,2,2,16,0,0
6334,12,0,1,1,0,1,1,0,0,0,0,0,1,1,2,2,0,0,3,2,3,6,0,0
401,13,1,1,1,0,1,1,0,0,0,1,0,0,1,2,2,2,0,3,2,3,7,0,0
1418,13,0,1,1,0,1,1,0,0,2,0,0,0,4,2,0,1,1,2,2,2,5,0,0
686,13,0,1,1,0,1,1,0,1,0,0,0,2,0,0,0,1,0,3,1,0,0,0,0
5830,13,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,2,2,13,0,3
422,13,0,2,2,0,1,1,0,6,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0
1123,13,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2
339,14,0,2,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,2,2,2,5,0,0
1111,14,1,1,1,0,1,0,0,5,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0
5587,14,0,2,1,0,1,1,0,0,0,0,0,2,2,2,2,1,0,2,1,1,0,0,0
346,14,1,2,1,0,1,1,0,0,0,0,0,4,1,0,0,0,0,1,2,1,0,0,0
6882,14,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
3274,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
1885,15,0,2,1,0,1,1,0,0,2,2,2,0,2,2,2,2,0,1,2,1,0,0,0
4099,15,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1413,15,1,1,1,0,1,0,0,4,0,0,0,2,0,0,0,1,0,2,2,2,5,0,0
2849,15,0,2,2,0,1,1,0,6,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
2199,15,0,1,1,0,1,1,0,0,2,0,0,1,2,0,0,1,0,2,2,2,6,0,0
384,15,1,2,1,0,1,0,0,3,0,0,0,3,0,0,0,1,0,3,2,3,3,0,0
1086,16,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2998,16,0,1,1,0,1,1,0,2,0,0,0,4,0,0,0,1,0,2,1,1,0,0,0
2914,16,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
2912,16,1,2,1,0,1,1,0,3,0,0,0,2,0,0,0,2,0,2,2,2,3,0,0
4242,16,0,2,1,0,1,1,0,0,0,0,0,1,2,0,0,2,0,2,2,2,3,0,0
5546,16,1,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,1,3,2,3,13,0,0
6543,17,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,7,0,2
1629,17,0,1,1,0,1,1,0,1,0,2,0,1,1,2,0,2,0,3,2,3,10,0,0
1731,17,0,1,1,0,1,1,0,0,0,0,0,3,1,1,0,1,0,1,2,1,0,0,0
2106,17,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,3,2,3,11,0,0
3939,17,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0
888,17,1,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,1,2,2,2,10,0,0
7770,18,1,2,1,0,1,0,0,3,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0
612,18,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
6802,18,0,1,1,0,1,1,0,4,0,0,0,2,0,0,0,0,1,2,2,2,7,0,0
2363,18,0,2,1,0,1,0,0,1,2,0,0,1,2,0,0,0,0,3,2,3,7,0,0
4472,18,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,3,0,3,2,3,13,0,0
2537,18,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2
1610,19,1,2,1,0,1,1,0,2,0,2,2,0,1,2,2,0,0,2,1,1,0,0,0
449,19,1,1,1,0,1,0,0,0,3,0,0,1,3,0,0,1,0,3,2,3,13,0,0
2534,19,0,1,1,0,1,1,0,1,1,0,0,1,2,2,0,1,1,3,2,3,17,0,0
614,19,0,2,1,0,1,1,0,1,0,0,0,4,2,0,0,0,0,2,2,2,6,0,1
3748,19,1,2,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,2,2,2,6,0,3
1727,19,0,2,2,0,1,1,0,4,2,0,0,0,0,0,0,0,0,2,2,2,5,0,0
2068,20,1,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,3,2,3,12,0,3
1262,20,0,1,1,0,1,1,0,5,0,2,0,1,1,2,0,0,0,2,2,2,8,0,0
6882,20,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,3
6334,20,0,2,1,0,1,0,0,0,0,0,0,1,1,2,1,1,0,3,2,3,26,0,0
686,20,1,1,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,2,2,2,8,0,2
3793,20,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,2,1,0,2,0
